venue_id,venue_full_name,venue_city,venue_state,league
3093,Delta Center,Salt Lake City,UT,ncaa_mbb
2183,Gainbridge Fieldhouse,Indianapolis,IN,ncaa_mbb
4533,Cadence Bank Arena,Tupelo,MS,ncaa_mbb
225,Mississippi Coast Coliseum,Biloxi,MS,ncaa_mbb
2559,Paycom Center,Oklahoma City,OK,ncaa_mbb
2609,Kimmel Arena,Asheville,NC,ncaa_mbb
5986,Novant Health Fieldhouse,Greensboro,NC,ncaa_mbb
824,Simmons Bank Arena,North Little Rock,AR,ncaa_mbb
7562,Mountain America Center,Idaho Falls,ID,ncaa_mbb
1840,Amerant Bank Arena,Sunrise,FL,ncaa_mbb
7263,LeBron James Arena,Akron,OH,ncaa_mbb
6016,Seabury Center Arena,Berea,KY,ncaa_mbb
1928,Fredrick C. Hobdy Assembly Center,Grambling,LA,ncaa_mbb
1893,Spectrum Center,Charlotte,NC,ncaa_mbb
5404,Little Caesars Arena,Detroit,MI,ncaa_mbb
876,Mississippi Coliseum,Jackson,MS,ncaa_mbb
1638,Heritage Bank Center,Cincinnati,OH,ncaa_mbb
1653,SAP Center at San Jose,San Jose,CA,ncaa_mbb
1246,Orleans Arena,Las Vegas,NV,ncaa_mbb
1498,MassMutual Center,Springfield,MA,ncaa_mbb
2163,OceanFirst Bank Center,West Long Branch,NJ,ncaa_mbb
1839,Enterprise Center,St. Louis,MO,ncaa_mbb
10642,Intuit Dome,Inglewood,CA,ncaa_mbb
415,Klotsche Center,Milwaukee,WI,ncaa_mbb
7229,Kathleen and Tom Elam Center,Martin,TN,ncaa_mbb
2023,J. Lawrence Walkup Skydome,Flagstaff,AZ,ncaa_mbb
1218,Lawler Arena,North Andover,MA,ncaa_mbb
1970,Cameron Hall,Lexington,VA,ncaa_mbb
2040,University Center,Hammond,LA,ncaa_mbb
2072,Davey L. Whitney Complex,Lorman,MS,ncaa_mbb
2027,William J. Nicks Building,Prairie View,TX,ncaa_mbb
1915,Baptist Health Arena,Richmond,KY,ncaa_mbb
2210,F.G. Clark Activity Center,Baton Rouge,LA,ncaa_mbb
1945,Lee E. Williams Athletics and Assembly Center,Jackson,MS,ncaa_mbb
1988,R.W. Harrison HPER Complex,Itta Bena,MS,ncaa_mbb
7458,Gold Mine Gym,Long Beach,CA,ncaa_mbb
6839,Hyland Arena,Saint Charles,MO,ncaa_mbb
5946,CareFirst Arena,Washington,DC,ncaa_mbb
358,Pensacola Bay Center,Pensacola,FL,ncaa_mbb
4937,Denny Sanford Premier Center,Sioux Falls,SD,ncaa_mbb
688,Harrah's Cherokee Center,Asheville,NC,ncaa_mbb
722,Jim Whelan Boardwalk Hall,Atlantic City,NJ,ncaa_mbb
6282,Gateway Center,College Park,GA,ncaa_mbb
630,Propst Arena,Huntsville,AL,ncaa_mbb
26,Norfolk Scope Arena,Norfolk,VA,ncaa_mbb
